Component,Prop,Type,Values,Default,Required,Description,Accessibility Notes,MapsTo
PipelineColumn,prospects,array,"Prospect[]","",true,"Items in stage.","Keyboard access to items.","src/components/Dashboard/Pipeline/ProspectPipeline.tsx"

ProspectCard,prospect,object,"Prospect","",true,"Prospect summary view.","Buttons have discernible names.","(New)"
ProspectCard,stageColor,string,"CSS color","",false,"Stage accent color.","Color not sole indicator.","(New)"

FilterPanel,filters,object,"FilterOptions","",true,"Current filter values.","Controls labeled; clear all.","src/components/Dashboard/Filters/FilterPanel.tsx"
FilterPanel,onFiltersChange,function,"(f)=>void","",true,"Callback for filter changes.","Announce updates to table.","src/components/Dashboard/Filters/FilterPanel.tsx"
FilterPanel,prospects,array,"Prospect[]","",false,"For dynamic filter options.","N/A","src/components/Dashboard/Filters/FilterPanel.tsx"

EvidenceModal,isOpen,boolean,"true|false",false,true,"Visibility flag.","role=dialog; focus trap.","(New)"
EvidenceModal,itemId,string,"uuid","",true,"Target interaction id.","Tabs labeled with role=tab.","(New)"
EvidenceModal,tabs,array,"['Email','Form','Screenshots','Headers','Model','Robots']","",true,"Which artifacts to show.","Each tab has alt text/captions.","(New)"

LoadingSpinner,size,enum,"sm|md|lg","md",false,"Spinner size.","aria-hidden=true; pair with aria-busy parent.","(New)
ErrorMessage,title,string,"text","",true,"Short error headline.","role=alert.","(New)"
ErrorMessage,message,string,"text","",true,"Detailed message.","Link to retry/learn more.","(New)"
EmptyState,icon,node,"ReactNode","",false,"Illustrative icon.","Decorative; aria-hidden=true.","(New)"
EmptyState,title,string,"text","",true,"Primary message.","Concise, action-oriented.","(New)"
EmptyState,action,node,"Button","",false,"Primary CTA.","Button labeled clearly.","(New)"

Tooltip,content,string,"text","",true,"Tooltip text.","Keyboard accessible; delay 300–500ms.","(New)"
Tooltip,placement,enum,"top|right|bottom|left","top",false,"Positioning.","Do not hide critical info.","(New)"

ThemeToggle,onToggle,function,"()=>void","",true,"Switch light/dark theme.","Has aria-label='Toggle theme'.","src/contexts/ThemeContext.tsx"
